id_eleve,annee_scolaire,region,code_region,province,milieu,secteur,cycle,genre,age,redoublant,score_moyen,a_abandonne,motif_abandon,beneficiaire_bourse,acces_cantine,acces_internat
EL100000,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Public,Primaire,Masculin,11,0,8.29,0,,1,1,0
EL100001,2018-2019,Marrakech-Safi,MAR,Marrakech,Rural,Public,Primaire,Féminin,10,0,13.76,0,,1,0,1
EL100002,2021-2022,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Privé,Primaire,Masculin,8,0,12.69,1,Difficultés scolaires,1,0,0
EL100003,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Qualifiant,Féminin,17,0,12.86,0,,0,0,1
EL100004,2016-2017,Casablanca-Settat,CAS,Settat,Rural,Public,Collégial,Féminin,14,0,10.0,0,,0,1,1
EL100005,2023-2024,Laâyoune-Sakia El Hamra,LAA,Boujdour,Urbain,Public,Primaire,Féminin,6,0,13.04,0,,1,0,0
EL100006,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Public,Primaire,Masculin,9,0,9.54,0,,0,0,0
EL100007,2015-2016,Oriental,ORI,Berkane,Rural,Public,Formation Professionnelle,Masculin,18,0,11.47,0,,1,0,0
EL100008,2018-2019,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Primaire,Masculin,11,0,8.46,0,,0,0,0
EL100009,2016-2017,Marrakech-Safi,MAR,Marrakech,Rural,Public,Primaire,Masculin,7,0,13.6,0,,1,0,0
EL100010,2020-2021,Marrakech-Safi,MAR,Marrakech,Urbain,Public,Primaire,Féminin,8,0,14.15,0,,0,0,0
EL100011,2018-2019,Drâa-Tafilalet,DRA,Errachidia,Urbain,Public,Primaire,Masculin,10,0,10.63,0,,0,1,0
EL100012,2023-2024,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Public,Qualifiant,Féminin,16,0,10.19,0,,1,1,0
EL100013,2016-2017,Oriental,ORI,Taourirt,Rural,Public,Qualifiant,Masculin,16,0,12.33,0,,0,0,0
EL100014,2017-2018,Marrakech-Safi,MAR,Al Haouz,Rural,Privé,Primaire,Féminin,10,0,9.16,0,,0,1,0
EL100015,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Public,Supérieur,Féminin,23,0,8.41,0,,0,0,0
EL100016,2021-2022,Fès-Meknès,FES,Fès,Rural,Public,Primaire,Féminin,10,0,13.94,1,Travail enfant,0,0,1
EL100017,2018-2019,Casablanca-Settat,CAS,Settat,Rural,Public,Supérieur,Féminin,22,0,9.45,0,,0,1,0
EL100018,2023-2024,Oriental,ORI,Guercif,Urbain,Public,Préscolaire,Féminin,4,0,12.22,0,,0,0,0
EL100019,2022-2023,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Public,Primaire,Masculin,11,0,6.98,0,,0,1,0
EL100020,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Public,Supérieur,Masculin,20,0,12.44,0,,0,0,0
EL100021,2021-2022,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Supérieur,Féminin,21,0,15.29,0,,0,1,0
EL100022,2019-2020,Drâa-Tafilalet,DRA,Zagora,Rural,Privé,Qualifiant,Masculin,16,0,12.66,0,,1,1,0
EL100023,2019-2020,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Public,Collégial,Féminin,14,0,15.01,0,,0,0,1
EL100024,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Public,Qualifiant,Masculin,16,0,9.62,0,,0,0,0
EL100025,2022-2023,Casablanca-Settat,CAS,Benslimane,Rural,Public,Qualifiant,Masculin,15,1,16.85,0,,0,0,0
EL100026,2015-2016,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Primaire,Féminin,7,0,10.48,0,,0,1,0
EL100027,2015-2016,Casablanca-Settat,CAS,Berrechid,Urbain,Public,Primaire,Masculin,11,0,8.82,0,,1,1,0
EL100028,2019-2020,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Collégial,Féminin,13,0,6.9,1,Difficultés scolaires,0,1,0
EL100029,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Collégial,Féminin,12,0,13.42,1,Grossesse,1,0,0
EL100030,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Public,Supérieur,Masculin,18,1,14.26,0,,1,0,0
EL100031,2020-2021,Drâa-Tafilalet,DRA,Errachidia,Urbain,Privé,Primaire,Masculin,11,0,7.8,0,,0,0,1
EL100032,2015-2016,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Public,Primaire,Masculin,10,0,12.21,1,Difficultés économiques,1,0,0
EL100033,2017-2018,Marrakech-Safi,MAR,Chichaoua,Urbain,Public,Primaire,Féminin,11,1,10.86,0,,0,0,0
EL100034,2019-2020,Marrakech-Safi,MAR,Marrakech,Urbain,Public,Supérieur,Féminin,20,0,14.0,0,,0,0,0
EL100035,2015-2016,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Préscolaire,Féminin,5,0,9.42,0,,0,0,0
EL100036,2020-2021,Casablanca-Settat,CAS,Khouribga,Rural,Public,Supérieur,Masculin,21,1,12.12,0,,0,0,0
EL100037,2019-2020,Fès-Meknès,FES,Séfrou,Rural,Privé,Préscolaire,Masculin,4,0,17.29,0,,0,0,0
EL100038,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Public,Primaire,Masculin,10,1,9.18,0,,0,0,0
EL100039,2019-2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Public,Qualifiant,Masculin,17,0,8.21,0,,0,0,0
EL100040,2021-2022,Marrakech-Safi,MAR,Essaouira,Urbain,Privé,Primaire,Masculin,7,1,18.09,0,,0,0,0
EL100041,2020-2021,Oriental,ORI,Driouch,Urbain,Public,Supérieur,Féminin,22,1,11.28,0,,0,0,0
EL100042,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Public,Primaire,Masculin,10,0,11.01,0,,0,0,0
EL100043,2016-2017,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Collégial,Féminin,13,0,9.65,0,,1,0,1
EL100044,2021-2022,Oriental,ORI,Berkane,Urbain,Public,Collégial,Masculin,13,1,14.84,0,,0,0,0
EL100045,2016-2017,Oriental,ORI,Jerada,Rural,Public,Supérieur,Féminin,21,0,9.6,0,,0,0,0
EL100046,2015-2016,Marrakech-Safi,MAR,Youssoufia,Urbain,Public,Préscolaire,Féminin,5,1,11.0,0,,1,0,0
EL100047,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Primaire,Féminin,8,0,10.08,0,,0,0,0
EL100048,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Public,Collégial,Masculin,12,0,11.63,0,,0,0,1
EL100049,2016-2017,Casablanca-Settat,CAS,Settat,Urbain,Public,Formation Professionnelle,Masculin,20,0,11.99,0,,1,0,0
EL100050,2017-2018,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Supérieur,Masculin,23,0,14.47,0,,0,1,0
EL100051,2023-2024,Casablanca-Settat,CAS,Casablanca,Rural,Privé,Supérieur,Masculin,19,0,8.12,0,,0,0,1
EL100052,2022-2023,Oriental,ORI,Taourirt,Urbain,Public,Collégial,Féminin,14,0,10.34,0,,0,1,0
EL100053,2021-2022,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Public,Collégial,Féminin,13,0,15.68,0,,1,0,0
EL100054,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Public,Supérieur,Féminin,19,0,10.5,0,,1,0,1
EL100055,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Supérieur,Masculin,25,0,12.78,0,,0,0,0
EL100056,2022-2023,Marrakech-Safi,MAR,Youssoufia,Urbain,Public,Qualifiant,Masculin,17,0,10.61,0,,0,0,0
EL100057,2018-2019,Fès-Meknès,FES,Meknès,Urbain,Public,Qualifiant,Féminin,16,0,10.68,0,,1,0,0
EL100058,2017-2018,Casablanca-Settat,CAS,Benslimane,Rural,Public,Supérieur,Masculin,23,0,12.59,1,Grossesse,1,0,0
EL100059,2022-2023,Casablanca-Settat,CAS,Berrechid,Rural,Public,Primaire,Masculin,7,0,9.85,0,,1,1,0
EL100060,2016-2017,Souss-Massa,SOU,Taroudannt,Urbain,Public,Primaire,Masculin,10,0,13.41,0,,0,1,0
EL100061,2023-2024,Marrakech-Safi,MAR,Essaouira,Urbain,Public,Formation Professionnelle,Féminin,23,0,13.96,0,,1,1,0
EL100062,2019-2020,Fès-Meknès,FES,El Hajeb,Urbain,Public,Collégial,Masculin,13,0,7.26,0,,0,0,1
EL100063,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Public,Primaire,Féminin,13,0,11.71,0,,0,0,0
EL100064,2018-2019,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Public,Collégial,Masculin,12,0,11.32,0,,0,0,0
EL100065,2021-2022,Fès-Meknès,FES,El Hajeb,Rural,Privé,Collégial,Féminin,14,0,13.46,0,,1,1,0
EL100066,2023-2024,Fès-Meknès,FES,Boulemane,Rural,Public,Supérieur,Féminin,21,1,13.59,0,,0,1,0
EL100067,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Public,Qualifiant,Féminin,17,0,9.4,0,,0,0,0
EL100068,2016-2017,Casablanca-Settat,CAS,Berrechid,Rural,Public,Préscolaire,Masculin,6,1,13.35,0,,1,1,0
EL100069,2015-2016,Marrakech-Safi,MAR,Essaouira,Rural,Public,Primaire,Masculin,7,0,13.24,0,,0,0,0
EL100070,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Préscolaire,Masculin,5,0,11.94,0,,1,0,0
EL100071,2023-2024,Marrakech-Safi,MAR,Essaouira,Urbain,Public,Supérieur,Masculin,23,1,11.77,0,,0,1,0
EL100072,2020-2021,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Public,Primaire,Masculin,10,1,10.95,0,,0,0,0
EL100073,2015-2016,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Privé,Collégial,Féminin,13,0,9.62,0,,0,0,0
EL100074,2022-2023,Casablanca-Settat,CAS,El Jadida,Rural,Public,Collégial,Masculin,13,0,12.74,0,,0,0,0
EL100075,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Public,Collégial,Féminin,12,0,11.56,0,,0,1,0
EL100076,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Collégial,Féminin,14,0,12.32,0,,1,0,1
EL100077,2018-2019,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Public,Qualifiant,Féminin,18,0,15.01,0,,0,0,0
