id_etablissement,nom_etablissement,annee_scolaire,region,code_region,province,milieu,secteur,cycle,nb_classes,effectif_eleves,annee_creation,equipement_bibliotheque,equipement_laboratoire,equipement_salle_sport,acces_internet,cantine,latitude,longitude
ETB10000,École 472-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Public,Primaire,15,274,1976,0,0,1,0,0,31.21237,-5.12716
ETB10001,École 215-FES,2022-2023,Fès-Meknès,FES,Taza,Urbain,Privé,Primaire,3,317,1999,1,0,1,1,1,29.07572,-8.95286
ETB10002,Collège 224-ORI,2018-2019,Oriental,ORI,Driouch,Urbain,Privé,Collégial,12,330,1981,1,1,0,1,1,28.02939,-7.39556
ETB10003,Lycée 351-LAA,2018-2019,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Rural,Public,Qualifiant,17,324,1982,0,0,1,0,1,32.11913,-13.01069
ETB10004,OFPPT 241-MAR,2017-2018,Marrakech-Safi,MAR,Essaouira,Rural,Privé,Formation Professionnelle,27,346,2010,0,0,0,1,1,31.75383,-10.2185
ETB10005,Collège 44-CAS,2015-2016,Casablanca-Settat,CAS,Settat,Rural,Privé,Collégial,3,371,1992,1,0,1,0,0,27.96012,-3.42183
ETB10006,École 115-SOU,2015-2016,Souss-Massa,SOU,Tata,Rural,Privé,Primaire,33,399,2010,0,0,0,1,1,31.73811,-10.61517
ETB10007,École 242-CAS,2021-2022,Casablanca-Settat,CAS,Mohammadia,Rural,Public,Primaire,31,176,2009,0,0,0,1,1,32.93164,-12.99064
ETB10008,Collège 44-MAR,2015-2016,Marrakech-Safi,MAR,Chichaoua,Rural,Public,Collégial,5,401,1971,1,1,0,0,0,28.07411,-10.969
ETB10009,École 394-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Primaire,5,350,2016,1,1,0,0,0,28.36016,-2.58365
ETB10010,École 47-DAK,2016-2017,Dakhla-Oued Eddahab,DAK,Dakhla,Urbain,Public,Primaire,14,460,1979,0,0,1,1,0,27.83176,-1.9229
ETB10011,École 205-BMK,2015-2016,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Public,Primaire,23,316,1992,0,1,1,0,0,33.20943,-3.19103
ETB10012,Collège 295-MAR,2018-2019,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Collégial,24,495,2018,1,0,0,0,1,30.02773,-9.14868
ETB10013,École 398-FES,2016-2017,Fès-Meknès,FES,El Hajeb,Urbain,Public,Primaire,23,325,2005,1,0,1,1,0,31.50802,-12.86741
ETB10014,École 474-RAB,2016-2017,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Public,Primaire,15,407,1998,1,0,0,0,1,33.44784,-7.10188
ETB10015,OFPPT 13-FES,2023-2024,Fès-Meknès,FES,Taza,Rural,Privé,Formation Professionnelle,22,250,2007,0,0,1,1,0,29.06493,-9.81948
ETB10016,Collège 360-CAS,2023-2024,Casablanca-Settat,CAS,Casablanca,Rural,Public,Collégial,13,524,1983,0,1,1,1,0,34.48018,-8.03345
ETB10017,École 299-CAS,2017-2018,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,12,323,1967,0,0,0,1,0,33.51627,-7.10714
ETB10018,École 80-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Primaire,25,212,1960,0,1,0,0,0,27.96991,-7.92304
ETB10019,École 473-DRA,2023-2024,Drâa-Tafilalet,DRA,Midelt,Rural,Privé,Primaire,3,405,1966,1,0,1,1,1,34.36319,-2.30809
ETB10020,École 338-CAS,2019-2020,Casablanca-Settat,CAS,Benslimane,Rural,Privé,Primaire,22,325,2003,1,1,0,1,1,30.81141,-2.69078
ETB10021,École 421-SOU,2018-2019,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Urbain,Privé,Primaire,34,391,2021,1,0,0,1,1,28.07227,-9.05361
ETB10022,École 86-CAS,2023-2024,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Primaire,10,294,2002,1,1,0,0,1,29.41316,-8.97399
ETB10023,École 209-MAR,2022-2023,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Public,Primaire,19,332,2006,1,1,0,1,1,35.00339,-5.10459
ETB10024,École 430-CAS,2016-2017,Casablanca-Settat,CAS,Khouribga,Rural,Public,Primaire,14,303,1970,0,0,0,0,0,34.84024,-11.4321
ETB10025,Collège 54-FES,2017-2018,Fès-Meknès,FES,Boulemane,Urbain,Public,Collégial,29,457,1982,0,0,0,1,1,27.76531,-9.05117
ETB10026,École 229-FES,2015-2016,Fès-Meknès,FES,Séfrou,Urbain,Public,Primaire,16,342,2016,1,1,0,1,1,28.20219,-5.58977
ETB10027,Université 329-DRA,2016-2017,Drâa-Tafilalet,DRA,Zagora,Urbain,Public,Supérieur,15,2641,1984,1,0,0,0,1,30.38594,-3.41442
ETB10028,École 232-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Public,Primaire,33,284,2018,1,0,1,1,0,34.06334,-5.66426
