id_enseignant,annee_scolaire,region,code_region,province,milieu,genre,cycle_enseigne,categorie,matiere,anciennete_annees,salaire_mensuel_mad,heures_semaine,formation_continue,jours_absence
ENS200000,2016-2017,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Masculin,Primaire,Professeur certifié,Éducation islamique,25,5442,19,1,15
ENS200001,2017-2018,Casablanca-Settat,CAS,El Jadida,Urbain,Masculin,Qualifiant,Instituteur,Anglais,25,4387,19,1,0
ENS200002,2022-2023,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Féminin,Primaire,Vacataire,Histoire-Géo,15,2953,25,1,0
ENS200003,2018-2019,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Rural,Masculin,Primaire,Contractuel,Sciences,18,5305,22,0,0
ENS200004,2017-2018,Drâa-Tafilalet,DRA,Zagora,Rural,Féminin,Primaire,Contractuel,Mathématiques,24,5115,28,1,19
ENS200005,2020-2021,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Masculin,Collégial,Professeur certifié,Histoire-Géo,14,6051,31,1,17
ENS200006,2021-2022,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Masculin,Préscolaire,Professeur agrégé,Sciences,29,9058,22,1,8
ENS200007,2023-2024,Fès-Meknès,FES,Taza,Rural,Féminin,Qualifiant,Professeur agrégé,SVT,30,8001,30,0,0
ENS200008,2015-2016,Marrakech-Safi,MAR,Chichaoua,Rural,Masculin,Collégial,Instituteur,Philosophie,27,4343,29,0,0
ENS200009,2022-2023,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Masculin,Qualifiant,Instituteur,Sciences,33,4824,18,1,0
ENS200010,2018-2019,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Féminin,Primaire,Contractuel,Physique-Chimie,31,3233,29,1,0
ENS200011,2017-2018,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Masculin,Qualifiant,Maître d'enseignement,SVT,30,5320,18,0,0
ENS200012,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Masculin,Collégial,Professeur agrégé,Anglais,32,8695,30,0,12
ENS200013,2019-2020,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Féminin,Qualifiant,Vacataire,Sciences,14,3070,24,0,22
ENS200014,2018-2019,Oriental,ORI,Taourirt,Urbain,Féminin,Primaire,Vacataire,Sciences,24,4032,27,0,0
ENS200015,2015-2016,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Féminin,Préscolaire,Contractuel,Philosophie,19,4920,25,0,19
ENS200016,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,Primaire,Professeur certifié,Éducation physique,8,7323,26,0,6
ENS200017,2023-2024,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Féminin,Primaire,Maître d'enseignement,Physique-Chimie,17,5839,24,0,0
ENS200018,2017-2018,Marrakech-Safi,MAR,Al Haouz,Urbain,Masculin,Primaire,Maître d'enseignement,Français,20,5236,21,0,15
ENS200019,2016-2017,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,Primaire,Contractuel,SVT,30,5034,26,1,0
ENS200020,2021-2022,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Féminin,Collégial,Contractuel,SVT,5,4290,25,1,10
ENS200021,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Masculin,Collégial,Contractuel,Anglais,2,4768,24,0,5
ENS200022,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Féminin,Qualifiant,Instituteur,Mathématiques,27,4679,30,1,5
ENS200023,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Masculin,Primaire,Maître d'enseignement,Éducation islamique,10,5287,22,0,0
ENS200024,2020-2021,Fès-Meknès,FES,Moulay Yacoub,Urbain,Masculin,Collégial,Instituteur,Physique-Chimie,4,4829,28,0,19
ENS200025,2019-2020,Marrakech-Safi,MAR,Essaouira,Rural,Féminin,Primaire,Contractuel,Philosophie,3,5204,23,0,0
ENS200026,2016-2017,Souss-Massa,SOU,Tiznit,Rural,Masculin,Primaire,Instituteur,Français,16,5437,23,1,21
ENS200027,2018-2019,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,Collégial,Contractuel,Histoire-Géo,10,4541,18,1,0
ENS200028,2016-2017,Marrakech-Safi,MAR,Youssoufia,Urbain,Masculin,Primaire,Professeur certifié,Éducation islamique,9,7819,20,0,1
ENS200029,2023-2024,Fès-Meknès,FES,Ifrane,Urbain,Masculin,Collégial,Professeur certifié,Philosophie,5,6872,22,0,11
ENS200030,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Masculin,Primaire,Maître d'enseignement,Mathématiques,34,5637,25,1,0
ENS200031,2022-2023,Marrakech-Safi,MAR,Essaouira,Urbain,Féminin,Primaire,Maître d'enseignement,SVT,30,6605,18,1,2
ENS200032,2019-2020,Fès-Meknès,FES,Taza,Rural,Masculin,Collégial,Professeur agrégé,Français,30,8257,31,0,5
ENS200033,2015-2016,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,Qualifiant,Contractuel,Éducation physique,16,5067,27,1,24
ENS200034,2022-2023,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,Primaire,Contractuel,Anglais,32,4629,27,0,0
ENS200035,2017-2018,Fès-Meknès,FES,Taza,Urbain,Masculin,Primaire,Professeur certifié,Physique-Chimie,22,7636,20,1,17
ENS200036,2015-2016,Souss-Massa,SOU,Tiznit,Urbain,Masculin,Primaire,Professeur certifié,Arabe,22,8226,23,0,6
ENS200037,2016-2017,Casablanca-Settat,CAS,Sidi Bennour,Rural,Féminin,Primaire,Maître d'enseignement,Philosophie,5,4459,31,1,18
ENS200038,2020-2021,Souss-Massa,SOU,Tata,Urbain,Masculin,Primaire,Professeur agrégé,Sciences,17,8374,28,0,0
ENS200039,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,Qualifiant,Maître d'enseignement,Arabe,7,6283,30,0,2
ENS200040,2017-2018,Oriental,ORI,Oujda-Angad,Rural,Masculin,Qualifiant,Vacataire,Sciences,8,1985,24,1,4
ENS200041,2016-2017,Casablanca-Settat,CAS,Berrechid,Urbain,Féminin,Collégial,Maître d'enseignement,Sciences,9,4891,25,1,11
ENS200042,2016-2017,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Masculin,Primaire,Maître d'enseignement,Philosophie,21,5197,26,0,18
ENS200043,2020-2021,Oriental,ORI,Figuig,Urbain,Masculin,Primaire,Vacataire,Mathématiques,14,3245,27,0,0
ENS200044,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Masculin,Primaire,Contractuel,Arabe,8,5545,21,1,0
ENS200045,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Masculin,Primaire,Vacataire,Éducation islamique,32,3626,26,0,23
ENS200046,2016-2017,Fès-Meknès,FES,Meknès,Urbain,Masculin,Qualifiant,Vacataire,Sciences,23,3603,22,1,7
ENS200047,2019-2020,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Féminin,Qualifiant,Professeur certifié,Éducation islamique,11,6597,23,1,8
ENS200048,2022-2023,Fès-Meknès,FES,Meknès,Urbain,Masculin,Primaire,Contractuel,Éducation physique,9,3439,25,1,3
ENS200049,2022-2023,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,Primaire,Instituteur,Histoire-Géo,9,5123,22,1,16
ENS200050,2016-2017,Drâa-Tafilalet,DRA,Tinghir,Rural,Masculin,Primaire,Contractuel,Arabe,33,4835,20,0,7
ENS200051,2019-2020,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Masculin,Qualifiant,Professeur certifié,Physique-Chimie,19,5994,29,0,23
ENS200052,2021-2022,Fès-Meknès,FES,Meknès,Rural,Masculin,Préscolaire,Maître d'enseignement,Sciences,10,5909,27,1,0
ENS200053,2021-2022,Oriental,ORI,Figuig,Urbain,Féminin,Primaire,Maître d'enseignement,SVT,15,5606,23,0,17
ENS200054,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Masculin,Collégial,Professeur certifié,Éducation islamique,27,6197,22,1,0
ENS200055,2021-2022,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,Primaire,Maître d'enseignement,Éducation islamique,13,7128,28,0,0
ENS200056,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Féminin,Qualifiant,Contractuel,Sciences,7,4210,31,1,15
