id_candidat,annee,type_examen,filiere,region,code_region,milieu,secteur,genre,note_arabe,note_mathematiques,note_francais,note_sciences,note_histoire_geo,note_education_islamique,moyenne_generale,admis,mention
CAND300000,2018,Baccalauréat,Economie,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,12.85,9.81,5.31,9.51,6.43,7.52,8.78,0,Ajourné
CAND300001,2019,Baccalauréat,Sciences maths,Fès-Meknès,FES,Urbain,Public,Masculin,8.98,17.4,13.18,14.24,11.03,11.75,12.91,1,Assez Bien
CAND300002,2019,Baccalauréat,Lettres,Casablanca-Settat,CAS,Rural,Public,Féminin,8.77,11.35,8.91,6.87,13.07,11.29,9.41,0,Ajourné
CAND300003,2021,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Féminin,9.86,11.47,10.41,9.16,9.92,12.37,10.53,1,Passable
CAND300004,2015,Brevet (Collégial),N/A,Drâa-Tafilalet,DRA,Urbain,Privé,Masculin,7.8,11.6,11.32,16.24,6.86,12.38,12.07,1,Assez Bien
CAND300005,2023,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Privé,Féminin,10.26,11.16,7.72,10.63,12.07,13.09,11.82,1,Passable
CAND300006,2021,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Rural,Public,Masculin,13.95,4.71,10.15,8.98,15.46,14.38,10.38,1,Passable
CAND300007,2018,Brevet (Collégial),N/A,Oriental,ORI,Rural,Public,Féminin,11.71,9.69,8.09,16.06,13.07,12.14,11.17,1,Passable
CAND300008,2023,Baccalauréat,Sciences maths,Rabat-Salé-Kénitra,RAB,Rural,Public,Féminin,10.36,13.48,11.86,7.86,14.18,13.96,11.3,1,Passable
CAND300009,2015,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Féminin,12.83,13.55,7.07,9.97,9.86,11.86,10.43,1,Passable
CAND300010,2022,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,9.16,10.74,10.2,7.47,11.54,16.07,10.74,1,Passable
CAND300011,2016,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Masculin,5.06,4.16,8.15,7.32,12.29,7.92,7.24,0,Ajourné
CAND300012,2019,Baccalauréat,Sciences maths,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,10.62,7.97,6.01,17.32,10.37,13.31,10.9,1,Passable
CAND300013,2015,Brevet (Collégial),N/A,Fès-Meknès,FES,Rural,Privé,Féminin,11.43,12.04,8.45,15.05,10.46,11.52,11.99,1,Passable
CAND300014,2015,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Masculin,11.55,8.02,11.65,14.5,7.56,16.6,11.52,1,Passable
CAND300015,2019,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Masculin,11.03,11.18,9.7,11.16,9.63,11.99,10.82,1,Passable
CAND300016,2018,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Masculin,12.71,8.57,6.02,7.07,10.4,12.63,9.56,0,Ajourné
CAND300017,2022,Baccalauréat,Sciences maths,Oriental,ORI,Rural,Public,Masculin,9.2,12.79,14.02,10.6,10.63,12.73,11.02,1,Passable
CAND300018,2017,CFEN (Primaire),N/A,Marrakech-Safi,MAR,Rural,Public,Masculin,10.0,15.84,12.04,12.24,14.06,8.04,11.57,1,Passable
CAND300019,2017,Brevet (Collégial),N/A,Drâa-Tafilalet,DRA,Rural,Public,Féminin,14.84,14.29,4.53,7.61,7.14,15.9,10.36,1,Passable
CAND300020,2017,Baccalauréat,Sciences expérimentales,Casablanca-Settat,CAS,Urbain,Public,Féminin,11.61,9.08,12.76,13.1,11.7,10.17,11.33,1,Passable
CAND300021,2016,CFEN (Primaire),N/A,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,11.28,9.91,10.32,8.17,8.93,14.39,10.45,1,Passable
CAND300022,2015,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Rural,Public,Féminin,12.43,9.7,15.65,10.97,9.01,12.09,10.95,1,Passable
CAND300023,2020,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Masculin,13.5,11.78,11.74,10.37,5.87,12.58,11.08,1,Passable
CAND300024,2015,Baccalauréat,Lettres,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,11.42,12.16,9.68,17.29,12.12,12.37,11.95,1,Passable
CAND300025,2021,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Féminin,13.6,6.27,8.87,8.15,14.48,9.83,10.07,1,Passable
CAND300026,2017,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Privé,Masculin,8.45,5.67,6.03,12.89,10.69,11.61,9.5,0,Ajourné
CAND300027,2016,Baccalauréat,Economie,Marrakech-Safi,MAR,Urbain,Public,Féminin,9.86,11.02,9.5,9.92,11.78,14.66,11.06,1,Passable
CAND300028,2020,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Public,Masculin,10.65,4.81,10.34,4.17,11.03,10.07,7.7,0,Ajourné
CAND300029,2020,Brevet (Collégial),N/A,Béni Mellal-Khénifra,BMK,Urbain,Public,Féminin,7.79,7.24,7.34,3.74,11.43,12.03,8.11,0,Ajourné
CAND300030,2019,Brevet (Collégial),N/A,Fès-Meknès,FES,Urbain,Privé,Féminin,12.17,3.36,9.81,8.99,10.69,12.47,10.34,1,Passable
CAND300031,2017,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Féminin,11.51,11.56,11.13,9.15,11.85,13.81,10.86,1,Passable
CAND300032,2021,Brevet (Collégial),N/A,Oriental,ORI,Urbain,Public,Féminin,9.07,14.9,6.7,11.4,10.82,10.85,10.81,1,Passable
CAND300033,2021,Baccalauréat,Sciences maths,Casablanca-Settat,CAS,Rural,Public,Masculin,4.11,14.28,8.21,11.91,11.46,9.44,9.39,0,Ajourné
CAND300034,2021,Baccalauréat,Lettres,Béni Mellal-Khénifra,BMK,Urbain,Public,Masculin,8.64,6.47,10.06,8.28,9.8,11.55,8.97,0,Ajourné
CAND300035,2016,Baccalauréat,Sciences maths,Drâa-Tafilalet,DRA,Rural,Public,Masculin,6.87,11.92,11.05,6.67,11.43,12.44,9.39,0,Ajourné
CAND300036,2021,Baccalauréat,Sciences expérimentales,Casablanca-Settat,CAS,Urbain,Public,Masculin,12.42,10.69,8.29,10.75,11.43,7.19,10.24,1,Passable
CAND300037,2018,Brevet (Collégial),N/A,Fès-Meknès,FES,Rural,Public,Masculin,11.1,7.12,10.25,4.46,11.45,10.49,8.41,0,Ajourné
CAND300038,2019,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Privé,Féminin,14.83,9.21,5.92,9.19,8.77,11.29,10.97,1,Passable
CAND300039,2015,Baccalauréat,Sciences maths,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,7.4,4.21,5.77,10.24,10.31,13.22,7.71,0,Ajourné
CAND300040,2019,CFEN (Primaire),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,10.57,8.18,13.68,4.51,13.13,11.72,10.08,1,Passable
CAND300041,2018,Baccalauréat,Sciences maths,Casablanca-Settat,CAS,Urbain,Public,Féminin,6.46,12.75,4.45,13.58,10.2,10.81,9.84,0,Ajourné
CAND300042,2021,CFEN (Primaire),N/A,Souss-Massa,SOU,Rural,Public,Féminin,9.89,10.89,6.24,12.42,10.52,14.91,10.22,1,Passable
CAND300043,2021,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,13.09,9.32,12.75,13.65,11.48,13.01,11.53,1,Passable
CAND300044,2023,Brevet (Collégial),N/A,Béni Mellal-Khénifra,BMK,Rural,Public,Féminin,9.3,4.47,8.79,11.76,11.02,8.92,8.28,0,Ajourné
CAND300045,2016,CFEN (Primaire),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Féminin,14.1,8.13,9.46,11.85,16.12,12.57,11.3,1,Passable
