annee,region,code_region,poste_budgetaire,budget_alloue_mad,budget_execute_mad,taux_execution
2015,Casablanca-Settat,CAS,Salaires enseignants,40410362,31762545,0.786
2015,Casablanca-Settat,CAS,Infrastructures,8164972,6033914,0.739
2015,Casablanca-Settat,CAS,Équipements pédagogiques,3162985,2720167,0.86
2015,Casablanca-Settat,CAS,Appui social (cartables),2912729,2627282,0.902
2015,Casablanca-Settat,CAS,Restauration scolaire,2323001,2209174,0.951
2015,Casablanca-Settat,CAS,Formation continue,874326,855965,0.979
2015,Casablanca-Settat,CAS,Transport scolaire,1164041,947529,0.814
2015,Casablanca-Settat,CAS,Numérique & TIC,1478420,1141340,0.772
2015,Casablanca-Settat,CAS,Autres,695510,587706,0.845
2015,Rabat-Salé-Kénitra,RAB,Salaires enseignants,23195598,16886395,0.728
2015,Rabat-Salé-Kénitra,RAB,Infrastructures,4707544,4123808,0.876
2015,Rabat-Salé-Kénitra,RAB,Équipements pédagogiques,1606943,1414110,0.88
2015,Rabat-Salé-Kénitra,RAB,Appui social (cartables),1637742,1313469,0.802
2015,Rabat-Salé-Kénitra,RAB,Restauration scolaire,1344197,1172140,0.872
2015,Rabat-Salé-Kénitra,RAB,Formation continue,644285,470972,0.731
2015,Rabat-Salé-Kénitra,RAB,Transport scolaire,790391,698706,0.884
2015,Rabat-Salé-Kénitra,RAB,Numérique & TIC,923671,721387,0.781
2015,Rabat-Salé-Kénitra,RAB,Autres,405908,296313,0.73
2015,Marrakech-Safi,MAR,Salaires enseignants,30526353,29610563,0.97
2015,Marrakech-Safi,MAR,Infrastructures,5583587,4500371,0.806
2015,Marrakech-Safi,MAR,Équipements pédagogiques,2007029,1493230,0.744
2015,Marrakech-Safi,MAR,Appui social (cartables),1855970,1371562,0.739
2015,Marrakech-Safi,MAR,Restauration scolaire,1320431,957313,0.725
2015,Marrakech-Safi,MAR,Formation continue,489143,437294,0.894
2015,Marrakech-Safi,MAR,Transport scolaire,699904,675407,0.965
2015,Marrakech-Safi,MAR,Numérique & TIC,1015429,942318,0.928
2015,Marrakech-Safi,MAR,Autres,370274,325841,0.88
2015,Fès-Meknès,FES,Salaires enseignants,22945312,17117202,0.746
2015,Fès-Meknès,FES,Infrastructures,5115057,3769797,0.737
2015,Fès-Meknès,FES,Équipements pédagogiques,1878208,1511957,0.805
2015,Fès-Meknès,FES,Appui social (cartables),1466998,1428856,0.974
2015,Fès-Meknès,FES,Restauration scolaire,1141870,900935,0.789
2015,Fès-Meknès,FES,Formation continue,533408,452863,0.849
2015,Fès-Meknès,FES,Transport scolaire,655346,570807,0.871
2015,Fès-Meknès,FES,Numérique & TIC,768176,578437,0.753
2015,Fès-Meknès,FES,Autres,389265,318030,0.817
2015,Souss-Massa,SOU,Salaires enseignants,14534101,11089519,0.763
2015,Souss-Massa,SOU,Infrastructures,3292076,2673166,0.812
2015,Souss-Massa,SOU,Équipements pédagogiques,1062488,1012551,0.953
2015,Souss-Massa,SOU,Appui social (cartables),1104910,1069552,0.968
2015,Souss-Massa,SOU,Restauration scolaire,868380,684284,0.788
2015,Souss-Massa,SOU,Formation continue,338542,267786,0.791
2015,Souss-Massa,SOU,Transport scolaire,577312,542096,0.939
2015,Souss-Massa,SOU,Numérique & TIC,620427,528604,0.852
2015,Souss-Massa,SOU,Autres,230692,214544,0.93
2015,Tanger-Tétouan-Al Hoceïma,TAN,Salaires enseignants,21022832,20371124,0.969
2015,Tanger-Tétouan-Al Hoceïma,TAN,Infrastructures,5006791,3795148,0.758
2015,Tanger-Tétouan-Al Hoceïma,TAN,Équipements pédagogiques,1344940,1144544,0.851
2015,Tanger-Tétouan-Al Hoceïma,TAN,Appui social (cartables),1204133,1164396,0.967
2015,Tanger-Tétouan-Al Hoceïma,TAN,Restauration scolaire,878460,814333,0.927
2015,Tanger-Tétouan-Al Hoceïma,TAN,Formation continue,496309,376698,0.759
2015,Tanger-Tétouan-Al Hoceïma,TAN,Transport scolaire,702614,604248,0.86
2015,Tanger-Tétouan-Al Hoceïma,TAN,Numérique & TIC,703813,586980,0.834
2015,Tanger-Tétouan-Al Hoceïma,TAN,Autres,373137,269405,0.722
2015,Oriental,ORI,Salaires enseignants,15835783,11940180,0.754
2015,Oriental,ORI,Infrastructures,3101772,2683033,0.865
2015,Oriental,ORI,Équipements pédagogiques,833409,741734,0.89
2015,Oriental,ORI,Appui social (cartables),958697,807223,0.842
2015,Oriental,ORI,Restauration scolaire,582047,554691,0.953
2015,Oriental,ORI,Formation continue,257620,188835,0.733
2015,Oriental,ORI,Transport scolaire,416750,349653,0.839
2015,Oriental,ORI,Numérique & TIC,508062,473006,0.931
2015,Oriental,ORI,Autres,236418,201664,0.853
2015,Béni Mellal-Khénifra,BMK,Salaires enseignants,13212142,10926441,0.827
2015,Béni Mellal-Khénifra,BMK,Infrastructures,2901552,2768080,0.954
2015,Béni Mellal-Khénifra,BMK,Équipements pédagogiques,913617,671508,0.735
2015,Béni Mellal-Khénifra,BMK,Appui social (cartables),757187,615593,0.813
2015,Béni Mellal-Khénifra,BMK,Restauration scolaire,800845,657494,0.821
2015,Béni Mellal-Khénifra,BMK,Formation continue,348683,339966,0.975
2015,Béni Mellal-Khénifra,BMK,Transport scolaire,422715,371144,0.878
2015,Béni Mellal-Khénifra,BMK,Numérique & TIC,462481,405133,0.876
2015,Béni Mellal-Khénifra,BMK,Autres,222372,193908,0.872
2015,Drâa-Tafilalet,DRA,Salaires enseignants,10999489,8766592,0.797
2015,Drâa-Tafilalet,DRA,Infrastructures,1723930,1332597,0.773
2015,Drâa-Tafilalet,DRA,Équipements pédagogiques,628294,611958,0.974
2015,Drâa-Tafilalet,DRA,Appui social (cartables),516477,456566,0.884
2015,Drâa-Tafilalet,DRA,Restauration scolaire,522414,410095,0.785
2015,Drâa-Tafilalet,DRA,Formation continue,195403,141667,0.725
2015,Drâa-Tafilalet,DRA,Transport scolaire,270862,211543,0.781
2015,Drâa-Tafilalet,DRA,Numérique & TIC,371194,275797,0.743
2015,Drâa-Tafilalet,DRA,Autres,127492,93707,0.735
2015,Laâyoune-Sakia El Hamra,LAA,Salaires enseignants,1992750,1506519,0.756
2015,Laâyoune-Sakia El Hamra,LAA,Infrastructures,435568,380251,0.873
2015,Laâyoune-Sakia El Hamra,LAA,Équipements pédagogiques,152200,133936,0.88
2015,Laâyoune-Sakia El Hamra,LAA,Appui social (cartables),136996,100418,0.733
2015,Laâyoune-Sakia El Hamra,LAA,Restauration scolaire,100661,95124,0.945
2015,Laâyoune-Sakia El Hamra,LAA,Formation continue,50144,39363,0.785
2015,Laâyoune-Sakia El Hamra,LAA,Transport scolaire,55977,42095,0.752
2015,Laâyoune-Sakia El Hamra,LAA,Numérique & TIC,85294,76424,0.896
2015,Laâyoune-Sakia El Hamra,LAA,Autres,32083,30607,0.954
2015,Guelmim-Oued Noun,GUE,Salaires enseignants,2692422,2205094,0.819
2015,Guelmim-Oued Noun,GUE,Infrastructures,590961,454449,0.769
2015,Guelmim-Oued Noun,GUE,Équipements pédagogiques,162315,130664,0.805
2015,Guelmim-Oued Noun,GUE,Appui social (cartables),178835,174900,0.978
2015,Guelmim-Oued Noun,GUE,Restauration scolaire,136921,133772,0.977
2015,Guelmim-Oued Noun,GUE,Formation continue,57201,54341,0.95
2015,Guelmim-Oued Noun,GUE,Transport scolaire,83104,75459,0.908
2015,Guelmim-Oued Noun,GUE,Numérique & TIC,78852,72701,0.922
2015,Guelmim-Oued Noun,GUE,Autres,39874,33853,0.849
2015,Dakhla-Oued Eddahab,DAK,Salaires enseignants,789006,693536,0.879
2015,Dakhla-Oued Eddahab,DAK,Infrastructures,180497,174902,0.969
2015,Dakhla-Oued Eddahab,DAK,Équipements pédagogiques,64348,58943,0.916
2015,Dakhla-Oued Eddahab,DAK,Appui social (cartables),56243,40720,0.724
2015,Dakhla-Oued Eddahab,DAK,Restauration scolaire,39264,30076,0.766
2015,Dakhla-Oued Eddahab,DAK,Formation continue,17151,16550,0.965
2015,Dakhla-Oued Eddahab,DAK,Transport scolaire,25360,19984,0.788
2015,Dakhla-Oued Eddahab,DAK,Numérique & TIC,32951,28140,0.854
2015,Dakhla-Oued Eddahab,DAK,Autres,13618,11834,0.869
2016,Casablanca-Settat,CAS,Salaires enseignants,40010842,33048956,0.826
2016,Casablanca-Settat,CAS,Infrastructures,9094898,7857992,0.864
2016,Casablanca-Settat,CAS,Équipements pédagogiques,2504074,2118446,0.846
2016,Casablanca-Settat,CAS,Appui social (cartables),2471433,2038932,0.825
2016,Casablanca-Settat,CAS,Restauration scolaire,2171151,1817253,0.837
2016,Casablanca-Settat,CAS,Formation continue,954392,775921,0.813
2016,Casablanca-Settat,CAS,Transport scolaire,1424610,1330585,0.934
2016,Casablanca-Settat,CAS,Numérique & TIC,1380449,1361123,0.986
2016,Casablanca-Settat,CAS,Autres,562345,479117,0.852
2016,Rabat-Salé-Kénitra,RAB,Salaires enseignants,24793360,21148736,0.853
2016,Rabat-Salé-Kénitra,RAB,Infrastructures,5015257,4629082,0.923
2016,Rabat-Salé-Kénitra,RAB,Équipements pédagogiques,1668908,1567105,0.939
2016,Rabat-Salé-Kénitra,RAB,Appui social (cartables),1384040,1292693,0.934
2016,Rabat-Salé-Kénitra,RAB,Restauration scolaire,1262472,985991,0.781
2016,Rabat-Salé-Kénitra,RAB,Formation continue,656710,640949,0.976
2016,Rabat-Salé-Kénitra,RAB,Transport scolaire,895120,682976,0.763
2016,Rabat-Salé-Kénitra,RAB,Numérique & TIC,1041666,838541,0.805
2016,Rabat-Salé-Kénitra,RAB,Autres,402486,351371,0.873
2016,Marrakech-Safi,MAR,Salaires enseignants,29211619,22785063,0.78
2016,Marrakech-Safi,MAR,Infrastructures,6210554,6005605,0.967
2016,Marrakech-Safi,MAR,Équipements pédagogiques,1624763,1241319,0.764
2016,Marrakech-Safi,MAR,Appui social (cartables),1555356,1477588,0.95
2016,Marrakech-Safi,MAR,Restauration scolaire,1267723,1238565,0.977
2016,Marrakech-Safi,MAR,Formation continue,489256,375259,0.767
2016,Marrakech-Safi,MAR,Transport scolaire,748035,596184,0.797
2016,Marrakech-Safi,MAR,Numérique & TIC,1003836,855268,0.852
2016,Marrakech-Safi,MAR,Autres,472979,373180,0.789
2016,Fès-Meknès,FES,Salaires enseignants,27659193,24174135,0.874
2016,Fès-Meknès,FES,Infrastructures,5373282,4685502,0.872
2016,Fès-Meknès,FES,Équipements pédagogiques,1485084,1393009,0.938
2016,Fès-Meknès,FES,Appui social (cartables),1587010,1425135,0.898
2016,Fès-Meknès,FES,Restauration scolaire,1424550,1029950,0.723
2016,Fès-Meknès,FES,Formation continue,567632,466593,0.822
2016,Fès-Meknès,FES,Transport scolaire,880840,865865,0.983
2016,Fès-Meknès,FES,Numérique & TIC,811053,599368,0.739
2016,Fès-Meknès,FES,Autres,342577,281256,0.821
2016,Souss-Massa,SOU,Salaires enseignants,16366845,12618837,0.771
2016,Souss-Massa,SOU,Infrastructures,3014580,2194614,0.728
2016,Souss-Massa,SOU,Équipements pédagogiques,1323500,1062771,0.803
2016,Souss-Massa,SOU,Appui social (cartables),1019954,894499,0.877
2016,Souss-Massa,SOU,Restauration scolaire,799120,699230,0.875
2016,Souss-Massa,SOU,Formation continue,330819,257708,0.779
2016,Souss-Massa,SOU,Transport scolaire,559628,466730,0.834
2016,Souss-Massa,SOU,Numérique & TIC,510045,373863,0.733
2016,Souss-Massa,SOU,Autres,257739,225006,0.873
2016,Tanger-Tétouan-Al Hoceïma,TAN,Salaires enseignants,20393877,16824948,0.825
2016,Tanger-Tétouan-Al Hoceïma,TAN,Infrastructures,4619343,3473746,0.752
2016,Tanger-Tétouan-Al Hoceïma,TAN,Équipements pédagogiques,1610823,1183955,0.735
2016,Tanger-Tétouan-Al Hoceïma,TAN,Appui social (cartables),1451423,1258384,0.867
2016,Tanger-Tétouan-Al Hoceïma,TAN,Restauration scolaire,1056210,935802,0.886
2016,Tanger-Tétouan-Al Hoceïma,TAN,Formation continue,506366,384838,0.76
2016,Tanger-Tétouan-Al Hoceïma,TAN,Transport scolaire,650924,587133,0.902
2016,Tanger-Tétouan-Al Hoceïma,TAN,Numérique & TIC,836034,731530,0.875
2016,Tanger-Tétouan-Al Hoceïma,TAN,Autres,348170,332503,0.955
2016,Oriental,ORI,Salaires enseignants,14238487,12031521,0.845
2016,Oriental,ORI,Infrastructures,2612566,2097890,0.803
2016,Oriental,ORI,Équipements pédagogiques,904454,674722,0.746
2016,Oriental,ORI,Appui social (cartables),748039,727842,0.973
2016,Oriental,ORI,Restauration scolaire,571904,428356,0.749
2016,Oriental,ORI,Formation continue,268075,199984,0.746
2016,Oriental,ORI,Transport scolaire,462983,380572,0.822
2016,Oriental,ORI,Numérique & TIC,503544,399310,0.793
2016,Oriental,ORI,Autres,206409,190309,0.922
2016,Béni Mellal-Khénifra,BMK,Salaires enseignants,16122741,15768040,0.978
2016,Béni Mellal-Khénifra,BMK,Infrastructures,2904053,2192560,0.755
2016,Béni Mellal-Khénifra,BMK,Équipements pédagogiques,962641,782627,0.813
2016,Béni Mellal-Khénifra,BMK,Appui social (cartables),875279,667838,0.763
2016,Béni Mellal-Khénifra,BMK,Restauration scolaire,610953,587125,0.961
2016,Béni Mellal-Khénifra,BMK,Formation continue,300956,246784,0.82
2016,Béni Mellal-Khénifra,BMK,Transport scolaire,515315,470998,0.914
2016,Béni Mellal-Khénifra,BMK,Numérique & TIC,435410,316543,0.727
