id_abandon,annee_scolaire,region,code_region,province,milieu,cycle,niveau_classe,genre,age_abandon,motif_principal,distance_etablissement,revenu_menage_mensuel,nb_enfants_menage,parent_analphabete,retour_ecole
AB400000,2016-2017,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Primaire,Année 5,Féminin,7,Difficultés économiques,1–5 km,2000-4000 MAD,6,0,0
AB400001,2023-2024,Fès-Meknès,FES,Fès,Rural,Primaire,Année 4,Masculin,8,Travail enfant,5–15 km,< 2000 MAD,5,1,0
AB400002,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Collégial,Année 3,Masculin,13,Manque d'infrastructures,1–5 km,> 7000 MAD,1,0,0
AB400003,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Primaire,Année 3,Masculin,7,Éloignement de l'établissement,< 1 km,2000-4000 MAD,3,1,0
AB400004,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Collégial,Année 1,Masculin,14,Difficultés économiques,< 1 km,4000-7000 MAD,1,1,1
AB400005,2023-2024,Fès-Meknès,FES,Moulay Yacoub,Rural,Primaire,Année 4,Féminin,9,Travail enfant,1–5 km,2000-4000 MAD,4,0,0
AB400006,2019-2020,Casablanca-Settat,CAS,Mohammadia,Rural,Primaire,Année 6,Masculin,11,Travail enfant,1–5 km,4000-7000 MAD,1,1,0
AB400007,2023-2024,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Collégial,Année 3,Masculin,15,Difficultés scolaires,< 1 km,< 2000 MAD,7,1,0
AB400008,2018-2019,Fès-Meknès,FES,Taounate,Urbain,Primaire,Année 3,Féminin,10,Travail enfant,< 1 km,4000-7000 MAD,4,0,0
AB400009,2017-2018,Oriental,ORI,Guercif,Rural,Collégial,Année 3,Masculin,14,Handicap,> 15 km,< 2000 MAD,8,1,0
AB400010,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Collégial,Année 2,Féminin,15,Mariage précoce,1–5 km,4000-7000 MAD,4,1,0
AB400011,2023-2024,Guelmim-Oued Noun,GUE,Tan-Tan,Urbain,Qualifiant,Année 1,Féminin,16,Travail enfant,5–15 km,2000-4000 MAD,5,0,0
AB400012,2019-2020,Oriental,ORI,Nador,Rural,Primaire,Année 3,Masculin,8,Travail enfant,1–5 km,< 2000 MAD,6,0,0
AB400013,2017-2018,Casablanca-Settat,CAS,El Jadida,Urbain,Qualifiant,Année 1,Masculin,16,Éloignement de l'établissement,5–15 km,2000-4000 MAD,4,1,0
AB400014,2020-2021,Fès-Meknès,FES,Boulemane,Rural,Collégial,Année 2,Masculin,13,Mariage précoce,1–5 km,< 2000 MAD,8,1,0
AB400015,2023-2024,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Primaire,Année 1,Masculin,10,Travail enfant,< 1 km,< 2000 MAD,4,1,0
AB400016,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Qualifiant,Année 1,Féminin,17,Éloignement de l'établissement,1–5 km,< 2000 MAD,7,1,0
AB400017,2017-2018,Oriental,ORI,Figuig,Urbain,Collégial,Année 3,Masculin,14,Difficultés scolaires,5–15 km,2000-4000 MAD,5,0,0
AB400018,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Primaire,Année 6,Masculin,9,Difficultés économiques,5–15 km,2000-4000 MAD,5,1,0
AB400019,2018-2019,Marrakech-Safi,MAR,Essaouira,Urbain,Primaire,Année 1,Masculin,12,Manque d'infrastructures,5–15 km,< 2000 MAD,4,1,0
AB400020,2019-2020,Casablanca-Settat,CAS,Khouribga,Rural,Qualifiant,Année 2,Masculin,17,Mariage précoce,< 1 km,> 7000 MAD,7,0,0
AB400021,2015-2016,Marrakech-Safi,MAR,Al Haouz,Rural,Qualifiant,Année 2,Masculin,18,Difficultés scolaires,< 1 km,2000-4000 MAD,2,0,0
AB400022,2020-2021,Fès-Meknès,FES,Ifrane,Rural,Primaire,Année 3,Masculin,11,Difficultés économiques,< 1 km,2000-4000 MAD,8,1,0
AB400023,2018-2019,Casablanca-Settat,CAS,Casablanca,Rural,Primaire,Année 3,Masculin,11,Autre,> 15 km,< 2000 MAD,6,1,0
AB400024,2020-2021,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Collégial,Année 3,Masculin,15,Difficultés économiques,> 15 km,4000-7000 MAD,2,0,0
AB400025,2019-2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Qualifiant,Année 2,Masculin,18,Travail enfant,1–5 km,> 7000 MAD,3,0,0
AB400026,2017-2018,Fès-Meknès,FES,Taza,Rural,Collégial,Année 1,Masculin,13,Éloignement de l'établissement,< 1 km,2000-4000 MAD,2,1,0
AB400027,2015-2016,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Qualifiant,Année 3,Masculin,18,Éloignement de l'établissement,1–5 km,2000-4000 MAD,3,0,0
AB400028,2016-2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Collégial,Année 1,Féminin,15,Difficultés économiques,> 15 km,4000-7000 MAD,7,1,0
AB400029,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Qualifiant,Année 3,Masculin,16,Mariage précoce,1–5 km,4000-7000 MAD,1,1,0
AB400030,2015-2016,Souss-Massa,SOU,Taroudannt,Rural,Primaire,Année 4,Féminin,10,Manque d'infrastructures,1–5 km,4000-7000 MAD,2,1,0
AB400031,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Collégial,Année 2,Féminin,14,Difficultés économiques,1–5 km,> 7000 MAD,1,0,1
AB400032,2021-2022,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Collégial,Année 2,Masculin,15,Difficultés économiques,< 1 km,< 2000 MAD,2,0,1
AB400033,2016-2017,Fès-Meknès,FES,Boulemane,Urbain,Collégial,Année 3,Masculin,15,Grossesse,1–5 km,4000-7000 MAD,3,0,0
