id_beneficiaire,annee,region,code_region,province,milieu,genre,age,tranche_age,operateur,niveau_formation,heures_formation,formation_completee,score_evaluation_final
ALP500000,2022,Oriental,ORI,Berkane,Urbain,Féminin,62,50-64,Association partenaire,Niveau 2 (intermédiaire),168,0,66.4
ALP500001,2021,Souss-Massa,SOU,Taroudannt,Rural,Féminin,60,50-64,ANLCA,Niveau 1 (débutant),130,1,38.2
ALP500002,2015,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,24,15-24,ANLCA,Niveau 3 (avancé),120,1,47.1
ALP500003,2019,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Féminin,52,50-64,ANLCA,Niveau 3 (avancé),175,1,74.6
ALP500004,2021,Fès-Meknès,FES,Moulay Yacoub,Rural,Féminin,21,15-24,ANLCA,Niveau 3 (avancé),158,1,93.2
ALP500005,2019,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Féminin,24,15-24,ANLCA,Niveau 3 (avancé),163,0,59.9
ALP500006,2016,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Masculin,50,35-49,Association partenaire,Niveau 1 (débutant),92,1,79.0
ALP500007,2017,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Féminin,32,25-34,ANLCA,Niveau 1 (débutant),194,0,77.5
ALP500008,2020,Fès-Meknès,FES,Fès,Rural,Masculin,52,50-64,Association partenaire,Niveau 1 (débutant),58,1,84.2
ALP500009,2019,Casablanca-Settat,CAS,Khouribga,Rural,Féminin,21,15-24,Association partenaire,Niveau 1 (débutant),62,0,26.6
ALP500010,2021,Casablanca-Settat,CAS,El Jadida,Rural,Masculin,34,25-34,ANLCA,Niveau 1 (débutant),88,1,74.1
ALP500011,2019,Oriental,ORI,Jerada,Urbain,Féminin,37,35-49,Entreprise,Niveau 1 (débutant),125,1,32.2
ALP500012,2016,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Féminin,30,25-34,Mosquée,Niveau 3 (avancé),95,1,40.8
ALP500013,2021,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Féminin,23,15-24,Association partenaire,Niveau 1 (débutant),158,1,53.8
ALP500014,2022,Marrakech-Safi,MAR,Safi,Rural,Masculin,28,25-34,Association partenaire,Niveau 2 (intermédiaire),167,0,53.3
ALP500015,2018,Oriental,ORI,Berkane,Urbain,Masculin,51,50-64,ANLCA,Niveau 2 (intermédiaire),146,1,63.4
ALP500016,2019,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Féminin,46,35-49,Entreprise,Niveau 2 (intermédiaire),98,1,80.9
ALP500017,2018,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,27,25-34,ANLCA,Niveau 1 (débutant),167,0,46.1
ALP500018,2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,16,15-24,Mosquée,Niveau 1 (débutant),72,0,37.1
ALP500019,2018,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Féminin,61,50-64,Entreprise,Niveau 1 (débutant),44,0,74.2
ALP500020,2017,Casablanca-Settat,CAS,Mohammadia,Rural,Masculin,40,35-49,Entreprise,Niveau 1 (débutant),92,0,73.5
ALP500021,2019,Oriental,ORI,Jerada,Urbain,Féminin,21,15-24,Mosquée,Niveau 2 (intermédiaire),184,1,62.1
ALP500022,2016,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Féminin,26,25-34,ANLCA,Niveau 3 (avancé),45,1,79.4
ALP500023,2017,Souss-Massa,SOU,Tiznit,Rural,Masculin,64,50-64,Association partenaire,Niveau 2 (intermédiaire),82,1,63.3
ALP500024,2021,Fès-Meknès,FES,Séfrou,Urbain,Masculin,46,35-49,Association partenaire,Niveau 2 (intermédiaire),59,1,63.3
ALP500025,2021,Casablanca-Settat,CAS,Mohammadia,Rural,Masculin,30,25-34,ANLCA,Niveau 2 (intermédiaire),122,1,56.4
ALP500026,2020,Casablanca-Settat,CAS,Berrechid,Rural,Masculin,26,25-34,Association partenaire,Niveau 2 (intermédiaire),190,1,91.0
ALP500027,2020,Marrakech-Safi,MAR,Marrakech,Rural,Féminin,59,50-64,Mosquée,Niveau 3 (avancé),197,0,100.0
ALP500028,2022,Fès-Meknès,FES,Séfrou,Urbain,Féminin,26,25-34,Association partenaire,Niveau 2 (intermédiaire),98,1,76.0
ALP500029,2022,Fès-Meknès,FES,Fès,Rural,Masculin,62,50-64,Mosquée,Niveau 1 (débutant),171,0,66.0
ALP500030,2015,Fès-Meknès,FES,Meknès,Rural,Féminin,31,25-34,Association partenaire,Niveau 2 (intermédiaire),49,1,78.5
ALP500031,2020,Casablanca-Settat,CAS,Settat,Urbain,Féminin,56,50-64,Association partenaire,Niveau 1 (débutant),71,1,34.3
ALP500032,2023,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,24,15-24,Entreprise,Niveau 1 (débutant),193,1,76.6
ALP500033,2015,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Masculin,58,50-64,ANLCA,Niveau 1 (débutant),172,0,72.4
ALP500034,2020,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Féminin,58,50-64,Association partenaire,Niveau 2 (intermédiaire),193,1,85.2
ALP500035,2023,Fès-Meknès,FES,Boulemane,Urbain,Masculin,52,50-64,Entreprise,Niveau 2 (intermédiaire),40,0,58.8
ALP500036,2022,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,64,50-64,Entreprise,Niveau 1 (débutant),47,0,53.4
ALP500037,2015,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Féminin,47,35-49,ANLCA,Niveau 3 (avancé),161,0,87.7
ALP500038,2021,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Féminin,59,50-64,Association partenaire,Niveau 1 (débutant),148,1,87.0
ALP500039,2021,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,34,25-34,ANLCA,Niveau 3 (avancé),157,1,80.9
ALP500040,2018,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,17,15-24,Association partenaire,Niveau 2 (intermédiaire),150,1,19.9
ALP500041,2023,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Féminin,32,25-34,ONG,Niveau 3 (avancé),112,1,58.2
ALP500042,2017,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Féminin,30,25-34,ANLCA,Niveau 1 (débutant),157,0,75.1
ALP500043,2015,Fès-Meknès,FES,Meknès,Rural,Féminin,38,35-49,Entreprise,Niveau 1 (débutant),198,0,47.7
ALP500044,2015,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,32,25-34,Mosquée,Niveau 3 (avancé),43,1,82.1
ALP500045,2017,Casablanca-Settat,CAS,El Jadida,Rural,Masculin,28,25-34,ONG,Niveau 3 (avancé),170,1,90.1
ALP500046,2015,Fès-Meknès,FES,Fès,Rural,Masculin,16,15-24,Association partenaire,Niveau 2 (intermédiaire),77,0,80.7
ALP500047,2015,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Féminin,29,25-34,Association partenaire,Niveau 1 (débutant),174,1,66.8
ALP500048,2023,Béni Mellal-Khénifra,BMK,Azilal,Rural,Féminin,17,15-24,Mosquée,Niveau 2 (intermédiaire),146,1,37.9
ALP500049,2016,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,43,35-49,ANLCA,Niveau 2 (intermédiaire),172,0,39.4
ALP500050,2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Urbain,Féminin,53,50-64,ANLCA,Niveau 1 (débutant),163,1,80.8
ALP500051,2016,Rabat-Salé-Kénitra,RAB,Salé,Rural,Féminin,25,15-24,ANLCA,Niveau 2 (intermédiaire),63,1,78.9
ALP500052,2017,Fès-Meknès,FES,Fès,Rural,Masculin,35,25-34,ANLCA,Niveau 1 (débutant),177,1,47.1
ALP500053,2015,Fès-Meknès,FES,Taounate,Rural,Masculin,48,35-49,Mosquée,Niveau 1 (débutant),100,1,74.8
ALP500054,2020,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Masculin,30,25-34,ANLCA,Niveau 3 (avancé),152,1,71.9
ALP500055,2019,Oriental,ORI,Jerada,Rural,Féminin,45,35-49,Entreprise,Niveau 1 (débutant),57,1,78.4
ALP500056,2018,Fès-Meknès,FES,Séfrou,Rural,Féminin,39,35-49,ONG,Niveau 1 (débutant),199,1,71.0
ALP500057,2023,Marrakech-Safi,MAR,Chichaoua,Urbain,Féminin,58,50-64,ANLCA,Niveau 2 (intermédiaire),104,1,62.7
ALP500058,2017,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Féminin,29,25-34,ANLCA,Niveau 2 (intermédiaire),84,0,100.0
ALP500059,2021,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,34,25-34,ANLCA,Niveau 3 (avancé),153,1,96.3
ALP500060,2018,Oriental,ORI,Guercif,Rural,Féminin,47,35-49,ANLCA,Niveau 2 (intermédiaire),121,1,62.5
ALP500061,2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Féminin,47,35-49,Association partenaire,Niveau 2 (intermédiaire),180,1,76.3
ALP500062,2017,Drâa-Tafilalet,DRA,Tinghir,Rural,Féminin,30,25-34,Association partenaire,Niveau 1 (débutant),86,1,86.8
ALP500063,2023,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Féminin,33,25-34,Association partenaire,Niveau 2 (intermédiaire),75,1,52.2
ALP500064,2016,Marrakech-Safi,MAR,Al Haouz,Rural,Masculin,22,15-24,Association partenaire,Niveau 1 (débutant),98,1,86.6
ALP500065,2016,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,43,35-49,ANLCA,Niveau 3 (avancé),165,1,57.4
ALP500066,2015,Drâa-Tafilalet,DRA,Tinghir,Urbain,Féminin,53,50-64,Association partenaire,Niveau 1 (débutant),101,1,64.7
ALP500067,2022,Marrakech-Safi,MAR,Safi,Rural,Féminin,63,50-64,Association partenaire,Niveau 1 (débutant),139,1,36.3
ALP500068,2022,Drâa-Tafilalet,DRA,Midelt,Rural,Féminin,20,15-24,ANLCA,Niveau 2 (intermédiaire),48,1,69.8
ALP500069,2021,Fès-Meknès,FES,Ifrane,Urbain,Masculin,60,50-64,ANLCA,Niveau 2 (intermédiaire),166,1,76.0
ALP500070,2020,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,48,35-49,ANLCA,Niveau 2 (intermédiaire),48,1,77.5
ALP500071,2021,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Féminin,43,35-49,Mosquée,Niveau 2 (intermédiaire),109,1,82.0
ALP500072,2016,Casablanca-Settat,CAS,Benslimane,Urbain,Féminin,42,35-49,ONG,Niveau 1 (débutant),151,1,71.7
ALP500073,2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,58,50-64,ANLCA,Niveau 1 (débutant),103,1,87.8
ALP500074,2023,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Féminin,40,35-49,Association partenaire,Niveau 1 (débutant),109,1,92.3
ALP500075,2015,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Masculin,56,50-64,Entreprise,Niveau 2 (intermédiaire),64,0,83.1
ALP500076,2022,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,60,50-64,Entreprise,Niveau 1 (débutant),87,1,60.5
ALP500077,2017,Oriental,ORI,Guercif,Urbain,Masculin,46,35-49,ANLCA,Niveau 3 (avancé),132,0,77.4
ALP500078,2018,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Féminin,42,35-49,Association partenaire,Niveau 1 (débutant),82,1,47.1
ALP500079,2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Féminin,16,15-24,Association partenaire,Niveau 1 (débutant),148,0,87.4
ALP500080,2021,Fès-Meknès,FES,Meknès,Urbain,Féminin,27,25-34,Association partenaire,Niveau 2 (intermédiaire),82,1,33.3
ALP500081,2017,Fès-Meknès,FES,El Hajeb,Rural,Masculin,25,15-24,Association partenaire,Niveau 2 (intermédiaire),138,0,58.8
ALP500082,2015,Casablanca-Settat,CAS,Settat,Rural,Féminin,23,15-24,ANLCA,Niveau 2 (intermédiaire),50,1,66.2
ALP500083,2018,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,23,15-24,Mosquée,Niveau 3 (avancé),85,1,71.4
ALP500084,2023,Fès-Meknès,FES,Ifrane,Rural,Masculin,57,50-64,Association partenaire,Niveau 3 (avancé),101,0,73.4
ALP500085,2019,Casablanca-Settat,CAS,Mohammadia,Urbain,Féminin,33,25-34,ONG,Niveau 2 (intermédiaire),72,0,83.0
ALP500086,2018,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Masculin,28,25-34,ANLCA,Niveau 1 (débutant),154,1,82.1
ALP500087,2021,Marrakech-Safi,MAR,Marrakech,Rural,Féminin,58,50-64,Association partenaire,Niveau 2 (intermédiaire),153,0,50.4
ALP500088,2016,Marrakech-Safi,MAR,Marrakech,Urbain,Féminin,46,35-49,Association partenaire,Niveau 1 (débutant),189,0,45.9
ALP500089,2021,Oriental,ORI,Taourirt,Urbain,Féminin,40,35-49,Association partenaire,Niveau 1 (débutant),69,0,63.4
ALP500090,2018,Marrakech-Safi,MAR,Marrakech,Urbain,Féminin,53,50-64,ANLCA,Niveau 1 (débutant),170,0,74.4
ALP500091,2019,Casablanca-Settat,CAS,Khouribga,Urbain,Féminin,40,35-49,Association partenaire,Niveau 1 (débutant),64,0,100.0
ALP500092,2018,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,54,50-64,Association partenaire,Niveau 1 (débutant),73,0,59.4
ALP500093,2019,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Masculin,33,25-34,ANLCA,Niveau 2 (intermédiaire),105,1,31.5
ALP500094,2019,Fès-Meknès,FES,Meknès,Rural,Féminin,44,35-49,Mosquée,Niveau 3 (avancé),129,0,89.3
ALP500095,2016,Oriental,ORI,Figuig,Rural,Masculin,44,35-49,Association partenaire,Niveau 2 (intermédiaire),96,1,88.1
ALP500096,2022,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,32,25-34,Association partenaire,Niveau 2 (intermédiaire),163,1,54.9
ALP500097,2018,Fès-Meknès,FES,Taounate,Rural,Féminin,32,25-34,Association partenaire,Niveau 3 (avancé),123,1,78.2
ALP500098,2023,Casablanca-Settat,CAS,El Jadida,Urbain,Masculin,40,35-49,ONG,Niveau 1 (débutant),68,0,74.3
