id_beneficiaire,annee_scolaire,region,code_region,milieu,genre,cycle,type_aide,montant_aide_mad,organisme_financeur
AS600000,2020-2021,Casablanca-Settat,CAS,Rural,Féminin,Collégial,Cartable,173,MEN
AS600001,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Masculin,Qualifiant,Internat,3614,MEN
AS600002,2016-2017,Béni Mellal-Khénifra,BMK,Rural,Féminin,Primaire,Cartable,170,MEN
AS600003,2023-2024,Souss-Massa,SOU,Rural,Masculin,Collégial,Cartable,171,MEN
AS600004,2023-2024,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Uniforme,266,INDH
AS600005,2018-2019,Fès-Meknès,FES,Rural,Masculin,Primaire,Internat,3774,MEN
AS600006,2016-2017,Drâa-Tafilalet,DRA,Urbain,Féminin,Collégial,Cartable,148,MEN
AS600007,2019-2020,Souss-Massa,SOU,Urbain,Masculin,Primaire,Restauration scolaire,1547,INDH
AS600008,2018-2019,Casablanca-Settat,CAS,Rural,Féminin,Qualifiant,Restauration scolaire,1562,MEN
AS600009,2023-2024,Souss-Massa,SOU,Rural,Féminin,Primaire,Cartable,166,MEN
AS600010,2017-2018,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Cartable,160,MEN
AS600011,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Féminin,Primaire,Restauration scolaire,1905,ONG
AS600012,2022-2023,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Restauration scolaire,1959,MEN
AS600013,2016-2017,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Uniforme,267,INDH
AS600014,2015-2016,Oriental,ORI,Urbain,Masculin,Primaire,Cartable,182,MEN
AS600015,2019-2020,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Transport scolaire,1221,MEN
AS600016,2017-2018,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Internat,3731,MEN
AS600017,2023-2024,Souss-Massa,SOU,Urbain,Masculin,Primaire,Fournitures,189,ONG
AS600018,2023-2024,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Primaire,Uniforme,253,MEN
AS600019,2016-2017,Oriental,ORI,Urbain,Féminin,Primaire,Restauration scolaire,1894,INDH
AS600020,2017-2018,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Transport scolaire,1144,INDH
AS600021,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Féminin,Collégial,Transport scolaire,1214,MEN
AS600022,2021-2022,Marrakech-Safi,MAR,Rural,Féminin,Collégial,Cartable,172,MEN
AS600023,2019-2020,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Transport scolaire,1157,MEN
AS600024,2019-2020,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Restauration scolaire,1865,INDH
AS600025,2023-2024,Fès-Meknès,FES,Urbain,Masculin,Primaire,Transport scolaire,1294,MEN
AS600026,2018-2019,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Restauration scolaire,1909,MEN
AS600027,2015-2016,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Collégial,Cartable,184,MEN
AS600028,2017-2018,Béni Mellal-Khénifra,BMK,Rural,Féminin,Collégial,Restauration scolaire,1879,MEN
AS600029,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Collégial,Cartable,145,MEN
AS600030,2019-2020,Casablanca-Settat,CAS,Rural,Féminin,Qualifiant,Restauration scolaire,1791,MEN
AS600031,2018-2019,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Restauration scolaire,1584,Don privé
AS600032,2023-2024,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Internat,3305,MEN
AS600033,2016-2017,Casablanca-Settat,CAS,Urbain,Masculin,Collégial,Fournitures,192,Collectivité locale
AS600034,2017-2018,Marrakech-Safi,MAR,Rural,Féminin,Qualifiant,Restauration scolaire,1849,INDH
AS600035,2018-2019,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Cartable,172,MEN
AS600036,2015-2016,Casablanca-Settat,CAS,Urbain,Féminin,Qualifiant,Internat,3259,MEN
AS600037,2020-2021,Marrakech-Safi,MAR,Urbain,Féminin,Qualifiant,Fournitures,195,INDH
AS600038,2020-2021,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Collégial,Transport scolaire,970,MEN
AS600039,2016-2017,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Restauration scolaire,1846,MEN
AS600040,2020-2021,Marrakech-Safi,MAR,Urbain,Masculin,Qualifiant,Transport scolaire,1123,ONG
AS600041,2017-2018,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Collégial,Cartable,186,INDH
AS600042,2018-2019,Oriental,ORI,Urbain,Masculin,Primaire,Cartable,184,MEN
AS600043,2015-2016,Laâyoune-Sakia El Hamra,LAA,Urbain,Féminin,Primaire,Fournitures,218,INDH
AS600044,2016-2017,Souss-Massa,SOU,Rural,Masculin,Primaire,Internat,4009,MEN
